Source IP,Source Port,Destination IP,Destinatino Port,Protocol,Num_pkts,Bytes,Stream ID,StoD Num_pkts,StoD bytes,DtoS Num_pkts,DtoS bytes,Captured Time,Duration,StoD bits/sec,DtoS bits/sec
192.168.0.38,3722,192.168.0.36,3722,UDP,2,92,157,2,92,0,0,167.265216,2532.820956,0,0
192.168.0.38,25663,168.126.63.2,53,UDP,2,195,158,1,74,1,121,168.635634,0.006048,97883,160052
192.168.0.38,62172,168.126.63.2,53,UDP,2,219,159,1,74,1,145,168.635694,0.005988,98864,193720
192.168.0.38,1631,168.126.63.2,53,UDP,2,166,160,1,75,1,91,168.833501,0.006007,99883,121191
192.168.0.38,16555,168.126.63.2,53,UDP,2,207,161,1,75,1,132,168.833582,0.011832,50709,89249
192.168.0.38,58582,168.126.63.2,53,UDP,2,166,162,1,75,1,91,168.833679,0.004523,,
192.168.0.38,40098,168.126.63.2,53,UDP,2,210,163,1,75,1,135,168.833739,0.00577,103986,187175
192.168.0.38,62798,142.250.207.99,443,UDP,84,13342,164,42,5568,42,7774,168.840294,70.168728,634,886
192.168.0.38,64644,142.250.206.195,443,UDP,22,11140,165,11,4643,11,6497,168.845399,27.090375,1371,1918
192.168.0.38,57314,172.217.161.238,443,UDP,20,7329,166,9,2838,11,4491,169.612638,0.231675,97999,155079
192.168.0.38,54077,168.126.63.2,53,UDP,2,221,167,1,78,1,143,169.613875,0.008046,77554,142182
192.168.0.38,14147,168.126.63.2,53,UDP,2,272,168,1,78,1,194,169.613925,0.007995,78048,194121
192.168.0.38,54785,211.231.99.250,443,TCP,63,34337,41,31,7456,32,26881,169.62228,25.805589,2311,8333
192.168.0.38,24376,168.126.63.2,53,UDP,2,247,169,1,80,1,167,170.026998,0.004364,,
192.168.0.38,55703,168.126.63.2,53,UDP,2,284,170,1,80,1,204,170.027046,0.004317,,
192.168.0.38,21095,168.126.63.2,53,UDP,2,244,171,1,74,1,170,170.027266,0.005966,99228,227958
192.168.0.38,31892,168.126.63.2,53,UDP,2,289,172,1,74,1,215,170.027299,0.005934,99764,289855
192.168.0.38,54786,121.53.202.238,443,TCP,141,131259,42,41,4524,100,126735,170.031677,122.913174,294,8248
192.168.0.38,54787,211.231.116.31,443,TCP,65,11618,43,36,4983,29,6635,170.033444,15.343529,2598,3459
192.168.0.38,46040,168.126.63.2,53,UDP,2,170,173,1,77,1,93,170.072686,0.025704,23965,28944
192.168.0.38,24262,168.126.63.2,53,UDP,2,214,174,1,77,1,137,170.072714,0.006033,102105,181667
192.168.0.38,12388,168.126.63.2,53,UDP,2,213,175,1,79,1,134,170.079193,0.004438,,
192.168.0.38,54780,168.126.63.2,53,UDP,2,264,176,1,79,1,185,170.079237,0.004394,,
192.168.0.38,54788,121.53.218.25,443,TCP,30,7760,44,16,2248,14,5512,170.084044,122.860747,146,358
